sum,theatre_id
10305465.400,
86125.000,402
7620.000,467
3920.000,480
158425.000,227
499710.000,380
1061035.000,410
73750.000,517
42790.000,497
13862.000,419
60.000,683
159938.000,391
6620.000,444
29240.000,400
10109.000,455
130.000,689
168000.000,470
174623.000,473
24260.000,426
920.000,663
32830.000,412
11960.000,209
60200.000,208
37690.000,370
1770.000,678
115510.000,211
377050.000,368
11960.000,204
141120.000,151
6500.000,384
139190.000,474
465950.000,407
367890.000,399
1440.000,200
235590.000,437
13260.000,454
300.000,214
165491.000,397
500035.000,390
77000.000,371
34650.000,486
730826.000,468
5730.000,544
2150.000,439
434630.000,404
19206.000,507
134759.000,438
21510.000,405
142300.000,545
172140.000,206
427540.000,364
39032.000,372
2227175.000,376
30620.000,218
4660.000,500
338307.000,373
10114155.000,225
135450.000,409
3659640.000,414
580.000,495
49870.000,543
4450.000,449
101410.000,446
13200.000,434
502690.000,365
25210.000,422
33330.000,389
393535.000,382
2940.000,469
261388.000,475
9360.000,536
355370.000,401
89430.000,205
1064658.000,462
42198.000,461
2840.000,447
281114.000,499
3340.000,541
6090.000,415
84450.000,220
341990.000,367
22534.000,482
396154.000,392
18990.000,386
18800.000,228
147060.000,511
871160.000,430
12700.000,523
1300.000,506
46330.000,537
1020.000,429
48130.000,519
20480.000,522
1030.000,526
320.000,508
32760.000,423
853370.000,378
173560.000,431
20250.000,201
132968.000,369
14766.000,457
223970.000,388
945700.000,471
251465.000,396
7170.000,464
4560.000,465
226530.000,395
97520.000,472
3780.000,530
1679720.000,224
5620.000,477
5760.000,435
56358.000,504
40453.000,210
89950.000,398
2720.000,442
10000.000,215
70450.000,406
423320.000,366
45250.000,440
8950.000,503
24046.000,203
3620.000,529
384270.000,385
72980.000,441
134365.000,393
74936.000,505
21160.000,219
44750.000,421
240280.000,375
920.000,546
400.000,686
212400.000,428
56948.000,448
199688.000,502
23300.000,491
100500.000,481
30378.000,527
713570.000,381
2154453.000,436
3468105.000,408
8810.000,466
3140.000,443
10297.000,416
3620.000,492
2624.000,490
13460.000,427
556840.000,377
381759.000,411
247506.000,403
1620.000,494
11376.000,235
957880.000,394
105330.000,374
150790.000,387
43854.000,535
2560.000,501
4919360.000,223
3960.000,456
130792.000,207
415453.000,458
1109350.000,217
560.000,418
84858.000,212
65480.000,463
21930.000,383
7940.000,533
9985.000,516
12170.000,202
1020.000,453
